h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
h;0.383029;3.62665;-3.243621;0;5;0.0377;l;23/09/2014;L;0;0;1;0;Reims;Ligue_1;2014
a;0.198224;2.64247;-2.444246;1;3;0.0673;l;10/01/2015;L;0;0;1;0;Lorient;Ligue_1;2014
a;0.385115;3.60171;-3.216595;1;3;0.0427;l;20/03/2015;L;0;0;1;0;Lorient;Ligue_1;2014
h;0.834694;2.94476;-2.110066;0;4;0.2528;l;09/05/2015;L;0;0;1;0;Metz;Ligue_1;2014
a;0.619008;3.51571;-2.896702;0;2;0.0833;l;16/05/2015;L;0;0;1;0;Metz;Ligue_1;2014
a;0.39894;3.42779;-3.02885;2;4;0.0431;l;18/01/2015;L;0;0;1;0;Evian Thonon Gaillard;Ligue_1;2014
a;0.0877751;2.36677;-2.2789949;0;1;0.0648;l;31/01/2015;L;0;0;1;0;Evian Thonon Gaillard;Ligue_1;2014
a;0.657208;2.65856;-2.001352;0;2;0.1915;l;02/05/2015;L;0;0;1;0;Evian Thonon Gaillard;Ligue_1;2014
a;0.191323;2.26447;-2.073147;0;2;0.0942;l;04/10/2014;L;0;0;1;0;Lens;Ligue_1;2014
a;0.623449;4.74794;-4.124491;1;4;0.0245;l;07/03/2015;L;0;0;1;0;Lens;Ligue_1;2014
a;0.263045;3.00002;-2.736975;1;3;0.0501;l;18/04/2015;L;0;0;1;0;Lens;Ligue_1;2014
a;0.378157;2.55504;-2.176883;1;3;0.0958;l;03/05/2015;L;0;0;1;0;Lens;Ligue_1;2014
a;0.638418;3.18828;-2.549862;0;0;0.1574;d;26/09/2015;D;0;1;0;1;Malaga;La_liga;2015
a;0.990845;3.50017;-2.509325;3;3;0.1147;d;06/03/2016;D;0;1;0;1;Malaga;La_liga;2015
h;1.57705;3.86997;-2.29292;2;1;0.2859;w;03/10/2015;W;1;0;0;3;Sevilla;La_liga;2015
a;1.03777;4.08121;-3.04344;0;4;0.0512;l;20/03/2016;L;0;0;1;0;Sevilla;La_liga;2015
a;0.989088;3.52924;-2.540152;0;5;0.1839;l;09/01/2016;L;0;0;1;0;Deportivo La Coruna;La_liga;2015
a;0.995453;3.34615;-2.350697;0;1;0.2156;l;20/02/2016;L;0;0;1;0;Deportivo La Coruna;La_liga;2015
h;2.19692;5.76112;-3.5642;0;8;0.096;l;20/04/2016;L;0;0;1;0;Deportivo La Coruna;La_liga;2015
a;0.617573;2.95341;-2.335837;0;4;0.1513;l;28/11/2015;L;0;0;1;0;Real Sociedad;La_liga;2015
a;0.580977;3.42264;-2.841663;1;3;0.0838;l;30/12/2015;L;0;0;1;0;Real Sociedad;La_liga;2015
a;0.83285;4.13679;-3.30394;1;5;0.036;l;22/01/2016;L;0;0;1;0;Real Sociedad;La_liga;2015
h;1.47918;4.38766;-2.90848;0;6;0.1211;l;12/09/2015;L;0;0;1;0;Espanyol;La_liga;2015
a;0.633616;2.87616;-2.242544;0;2;0.1483;l;30/12/2015;L;0;0;1;0;Espanyol;La_liga;2015
a;0.263626;2.87714;-2.613514;1;2;0.0651;l;10/01/2016;L;0;0;1;0;Espanyol;La_liga;2015
